time	V(tianoninv)	I(Rf)	Ix(U2:OUT)
5.106557000392018e+00	7.683666e+00	1.536734e-03	-1.815368e-01
5.116322625392018e+00	7.664543e+00	1.532909e-03	-1.815329e-01
5.126088250392018e+00	7.645443e+00	1.529089e-03	-1.815291e-01
5.155385125392018e+00	7.588288e+00	1.517658e-03	-1.815177e-01
5.174916375392018e+00	7.550303e+00	1.510061e-03	-1.815101e-01
5.194447625392018e+00	7.512413e+00	1.502483e-03	-1.815025e-01
5.204213250392018e+00	7.493503e+00	1.498701e-03	-1.814987e-01
5.213978875392018e+00	7.474616e+00	1.494924e-03	-1.814950e-01
5.223744500392018e+00	7.455753e+00	1.491151e-03	-1.814912e-01
5.233510125392018e+00	7.436913e+00	1.487383e-03	-1.814874e-01
5.253041375392018e+00	7.399300e+00	1.479861e-03	-1.814799e-01
5.262807000392018e+00	7.380528e+00	1.476106e-03	-1.814761e-01
5.282338250392018e+00	7.343053e+00	1.468611e-03	-1.814687e-01
5.301869500392018e+00	7.305668e+00	1.461134e-03	-1.814612e-01
5.321400750392018e+00	7.268372e+00	1.453675e-03	-1.814537e-01
5.340932000392018e+00	7.231166e+00	1.446234e-03	-1.814463e-01
5.360463250392018e+00	7.194047e+00	1.438810e-03	-1.814388e-01
5.389760125392018e+00	7.138534e+00	1.427707e-03	-1.814277e-01
5.399525750392018e+00	7.120073e+00	1.424015e-03	-1.814241e-01
5.409291375392018e+00	7.101634e+00	1.420327e-03	-1.814204e-01
5.419057000392018e+00	7.083216e+00	1.416644e-03	-1.814167e-01
5.428822625392018e+00	7.064819e+00	1.412964e-03	-1.814130e-01
5.438588250392018e+00	7.046444e+00	1.409289e-03	-1.814093e-01
